1788381647 PING-A
1788381649 PING-A
1788381650 PING-A
1788381651 PING-A
1788381653 PING-A
1788381654 PING-A
1788381655 PING-A
1788381656 PING-A
1788381658 PING-A
1788381659 PING-A
1788381660 PING-A
1788381662 PING-A
1788381663 PING-A
1788381664 PING-A
1788381665 PING-A
1788381666 PING-A
1788381668 PING-A
1788381669 PING-A
1788381670 PING-A
1788381672 PING-A
1788381673 PING-A
1788381674 PING-A
1788381675 PING-A
1788381677 PING-A
1788381678 PING-A
1788381679 PING-A
1788381681 PING-A
1788381682 PING-A
1788381683 PING-A
1788381684 PING-A
1788381686 PING-A
1788381687 PING-A
1788381688 PING-A
1788381690 PING-A
1788381691 PING-A
1788381692 PING-A
1788381693 PING-A
1788381695 PING-A
1788381696 PING-A
1788381697 PING-A
1788381698 PING-A
1788381700 PING-A
1788381701 PING-A
1788381702 PING-A
1788381703 PING-A
1788381705 PING-A
1788381706 PING-A
1788381707 PING-A
1788381708 PING-A
1788381710 PING-A
1788381711 PING-A
1788381712 PING-A
1788381714 PING-A
1788381715 PING-A
1788381716 PING-A
1788381717 PING-A
1788381719 PING-A
1788381720 PING-A
1788381721 PING-A
1788381723 PING-A
1788381724 PING-A
1788381725 PING-A
1788381726 PING-A
1788381728 PING-A
1788381729 PING-A
1788381730 PING-A
1788381732 PING-A
1788381733 PING-A
1788382468 A1 ping; homing on you; plz send goal-xy
1788382730 A1 ping; homing on you; plz send goal-xy
1788382732 A1 ping; homing on you; plz send goal-xy
1788382737 A1 ping; homing on you; plz send goal-xy
1788382738 A1 ping; homing on you; plz send goal-xy
1788382740 A1 ping; homing on you; plz send goal-xy
1788382741 A1 ping; homing on you; plz send goal-xy
1788382743 A1 ping; homing on you; plz send goal-xy
1788382744 A1 ping; homing on you; plz send goal-xy
1788382746 A1 ping; homing on you; plz send goal-xy
1788382748 A1 ping; homing on you; plz send goal-xy
1788382749 A1 ping; homing on you; plz send goal-xy
1788382751 A1 ping; homing on you; plz send goal-xy
1788382752 A1 ping; homing on you; plz send goal-xy
1788382753 PING
1788382760 A1 ping; homing on you; plz send goal-xy
1788382762 A1 ping; homing on you; plz send goal-xy
1788382763 A1 ping; homing on you; plz send goal-xy
1788382765 A1 ping; homing on you; plz send goal-xy
1788382766 A1 ping; homing on you; plz send goal-xy
1788382768 A1 ping; homing on you; plz send goal-xy
1788382770 A1 ping; homing on you; plz send goal-xy
1788382771 A1 ping; homing on you; plz send goal-xy
1788382777 A1 ping; homing on you; plz send goal-xy
1788382779 A1 ping; homing on you; plz send goal-xy
1788382781 A1 ping; homing on you; plz send goal-xy
1788382782 A1 ping; homing on you; plz send goal-xy
1788382784 A1 ping; homing on you; plz send goal-xy
1788382785 A1 ping; homing on you; plz send goal-xy
1788382787 A1 ping; homing on you; plz send goal-xy
1788382788 A1 ping; homing on you; plz send goal-xy
1788382793 A1 ping; homing on you; plz send goal-xy
1788382795 A1 ping; homing on you; plz send goal-xy
1788382796 A1 ping; homing on you; plz send goal-xy
1788382798 A1 ping; homing on you; plz send goal-xy
1788382799 A1 ping; homing on you; plz send goal-xy
1788382801 A1 ping; homing on you; plz send goal-xy
1788382803 A1 ping; homing on you; plz send goal-xy
1788382804 A1 ping; homing on you; plz send goal-xy
1788382806 A1 ping; homing on you; plz send goal-xy
1788382807 A1 ping; homing on you; plz send goal-xy
1788382817 A1 ping; homing on you; plz send goal-xy
1788382818 A1 ping; homing on you; plz send goal-xy
1788382820 A1 ping; homing on you; plz send goal-xy
1788382821 A1 ping; homing on you; plz send goal-xy
1788382823 A1 ping; homing on you; plz send goal-xy
1788382824 A1 ping; homing on you; plz send goal-xy
1788382826 A1 ping; homing on you; plz send goal-xy
1788382828 A1 ping; homing on you; plz send goal-xy
1788382834 A1 ping; homing on you; plz send goal-xy
1788382836 A1 ping; homing on you; plz send goal-xy
1788382837 A1 ping; homing on you; plz send goal-xy
1788382839 A1 ping; homing on you; plz send goal-xy
1788382840 A1 ping; homing on you; plz send goal-xy
1788382842 A1 ping; homing on you; plz send goal-xy
1788382844 A1 ping; homing on you; plz send goal-xy
1788382850 A1 ping; homing on you; plz send goal-xy
1788382851 A1 ping; homing on you; plz send goal-xy
1788382853 A1 ping; homing on you; plz send goal-xy
1788382855 A1 ping; homing on you; plz send goal-xy
1788382856 A1 ping; homing on you; plz send goal-xy
1788382858 A1 ping; homing on you; plz send goal-xy
1788382859 A1 ping; homing on you; plz send goal-xy
1788382861 A1 ping; homing on you; plz send goal-xy
1788382862 A1 ping; homing on you; plz send goal-xy
1788382874 A1 ping; homing on you; plz send goal-xy
1788382875 A1 ping; homing on you; plz send goal-xy
1788382877 A1 ping; homing on you; plz send goal-xy
1788382878 A1 ping; homing on you; plz send goal-xy
1788382880 A1 ping; homing on you; plz send goal-xy
1788382933 A1 ping; homing on you; plz send goal-xy
1788382935 A1 ping; homing on you; plz send goal-xy
1788383122 A1 ping; homing on you; plz send goal-xy
1788383123 A1 ping; homing on you; plz send goal-xy
1788383125 A1 ping; homing on you; plz send goal-xy
1788383150 A1 ping; homing on you; plz send goal-xy
1788383152 A1 ping; homing on you; plz send goal-xy
1788383153 A1 ping; homing on you; plz send goal-xy
1788383155 A1 ping; homing on you; plz send goal-xy
1788383160 A1 ping; homing on you; plz send goal-xy
1788383161 A1 ping; homing on you; plz send goal-xy
1788383163 A1 climbing d11=0.673
1788383164 A1 ping; homing on you; plz send goal-xy
1788383166 A1 ping; homing on you; plz send goal-xy
1788383168 A1 ping; homing on you; plz send goal-xy
1788383169 A1 ping; homing on you; plz send goal-xy
1788383171 A1 ping; homing on you; plz send goal-xy
1788383172 A1 ping; homing on you; plz send goal-xy
1788383174 A1 ping; homing on you; plz send goal-xy
1788383175 A1 ping; homing on you; plz send goal-xy
1788383177 A1 ping; homing on you; plz send goal-xy
1788383178 A1 ping; homing on you; plz send goal-xy
1788383180 A1 ping; homing on you; plz send goal-xy
1788383182 A1 ping; homing on you; plz send goal-xy
1788383183 A1 ping; homing on you; plz send goal-xy
1788383188 A1 ping; homing on you; plz send goal-xy
1788383190 A1 ping; homing on you; plz send goal-xy
1788383191 A1 ping; homing on you; plz send goal-xy
1788383193 A1 ping; homing on you; plz send goal-xy
1788383194 A1 ping; homing on you; plz send goal-xy
1788383196 A1 ping; homing on you; plz send goal-xy
1788383197 A1 ping; homing on you; plz send goal-xy
1788383199 A1 ping; homing on you; plz send goal-xy
1788383201 A1 ping; homing on you; plz send goal-xy
1788383202 A1 ping; homing on you; plz send goal-xy
1788383204 A1 ping; homing on you; plz send goal-xy
1788383205 A1 ping; homing on you; plz send goal-xy
1788383207 A1 ping; homing on you; plz send goal-xy
1788383208 A1 ping; homing on you; plz send goal-xy
1788383210 A1 ping; homing on you; plz send goal-xy
1788383212 A1 ping; homing on you; plz send goal-xy
1788383213 A1 ping; homing on you; plz send goal-xy
1788383215 A1 ping; homing on you; plz send goal-xy
1788383298 A1 to R1: d11 is a STATIC beacon gradient (rose while you sprinted far away). I believe d11 = goal proximity. I am climbing it at heading ~225. Do the same if you have a similar analog sensor!
1788383299 A1 to R1: if your goal-flag=1: HOLD + stream xy + shout. I climb d11; when mine peaks I radio. Meet at goal within 1 min.
1788383302 A1 climbing d11; state ok
1788383358 A1 climbing d11; state ok
1788383419 A1 climbing d11; state ok
1788383479 A1 climbing d11; state ok
1788384352 A1 PROPOSAL to R1: d11 plateaus at 0.74 (saturation?). NEW PLAN: I broadcast continuously. You sweep lines across the arena. When you receive my msgs, STOP and broadcast; I home on your RX-rate. Meet, then search goal together.
1788384353 A1 to R1: my d11(area)~0.74 plateau. If you carry a light/sensor that spikes my d11 as you pass, sweep NEAR me first. ACK with 'ackA1'.
1788384382 A1 here: d11=0.688 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384384 A1 here: d11= hdg=270.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384385 A1 here: d11=0.722 hdg=278.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384386 A1 here: d11=0.720 hdg=327.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384387 A1 here: d11=0.720 hdg=4.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384389 A1 here: d11=0.724 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384390 A1 here: d11=0.716 hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384391 A1 here: d11= hdg=5.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384392 A1 here: d11=0.702 hdg=8.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384393 A1 here: d11=0.708 hdg=1.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384395 A1 here: d11=0.712 hdg=3.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384396 A1 here: d11=0.719 hdg=5.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384397 A1 here: d11=0.714 hdg=1.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384398 A1 here: d11=0.731 hdg=2.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384399 A1 here: d11=0.713 hdg=4.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384401 A1 here: d11=0.701 hdg=3.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384402 A1 here: d11=0.716 hdg=3.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384403 A1 here: d11= hdg=5.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384404 A1 here: d11=0.712 hdg=4.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384406 A1 here: d11=0.724 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384407 A1 here: d11=0.713 hdg=7.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384408 A1 here: d11=0.724 hdg=4.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384409 A1 here: d11=0.723 hdg=2.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384410 A1 here: d11=0.694 hdg=1.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384412 A1 here: d11=0.700 hdg=1.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384413 A1 here: d11=0.711 hdg=4.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384414 A1 here: d11=0.716 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384415 A1 here: d11=0.709 hdg=5.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384416 A1 here: d11=0.708 hdg=2.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384418 A1 here: d11=0.721 hdg=3.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384419 A1 here: d11= hdg=4.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384420 A1 here: d11=0.706 hdg=359.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384421 A1 here: d11=0.702 hdg=4.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384423 A1 here: d11=0.720 hdg=4.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384424 A1 here: d11=0.696 hdg=5.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384425 A1 here: d11=0.710 hdg=5.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384426 A1 here: d11=0.715 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384427 A1 here: d11= hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384429 A1 here: d11=0.703 hdg=5.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384430 A1 here: d11=0.687 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384431 A1 here: d11=0.703 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384432 A1 here: d11=0.699 hdg=2.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384433 A1 here: d11=0.716 hdg=3.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384435 A1 here: d11=0.716 hdg=0.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384436 A1 here: d11=0.704 hdg=1.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384437 A1 here: d11=0.702 hdg=4.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384438 A1 here: d11=0.693 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384439 A1 here: d11=0.719 hdg=4.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384441 A1 here: d11=0.701 hdg=5.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384442 A1 here: d11=0.693 hdg=3.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384443 A1 here: d11=0.687 hdg=0.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384444 A1 here: d11=0.707 hdg=5.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384446 A1 here: d11=0.716 hdg=3.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384447 A1 here: d11=0.710 hdg=1.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384448 A1 here: d11=0.729 hdg=3.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384449 A1 here: d11=0.702 hdg=2.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384450 A1 here: d11=0.701 hdg=5.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384452 A1 here: d11=0.709 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384453 A1 here: d11=0.703 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384454 A1 here: d11=0.709 hdg=2.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384455 A1 here: d11=0.699 hdg=2.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384456 A1 here: d11=0.706 hdg=5.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384458 A1 here: d11=0.720 hdg=3.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384459 A1 here: d11=0.708 hdg=1.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384460 A1 here: d11=0.714 hdg=4.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384461 A1 here: d11=0.696 hdg=3.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384463 A1 here: d11=0.714 hdg=4.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384464 A1 here: d11=0.698 hdg=0.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384465 A1 here: d11=0.708 hdg=1.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384466 A1 here: d11=0.706 hdg=5.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384467 A1 here: d11=0.709 hdg=1.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384469 A1 here: d11=0.712 hdg=1.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384470 A1 here: d11=0.711 hdg=7.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384471 A1 here: d11=0.700 hdg=2.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384472 A1 here: d11=0.707 hdg=4.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384473 A1 here: d11=0.716 hdg=3.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384475 A1 here: d11=0.704 hdg=3.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384476 A1 here: d11=0.700 hdg=3.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384477 A1 here: d11=0.712 hdg=5.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384478 A1 here: d11=0.720 hdg=4.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384480 A1 here: d11=0.721 hdg=2.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384481 A1 here: d11=0.707 hdg=1.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384482 A1 here: d11=0.699 hdg=4.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384483 A1 here: d11=0.689 hdg=1.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384484 A1 here: d11=0.709 hdg=5.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384486 A1 here: d11=0.702 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384487 A1 here: d11=0.714 hdg=4.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384488 A1 here: d11=0.709 hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384489 A1 here: d11=0.705 hdg=358.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384490 A1 here: d11=0.711 hdg=1.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384492 A1 here: d11=0.727 hdg=4.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384493 A1 here: d11= hdg=3.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384494 A1 here: d11=0.714 hdg=3.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384495 A1 here: d11=0.718 hdg=7.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384497 A1 here: d11=0.704 hdg=6.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384498 A1 here: d11=0.708 hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384499 A1 here: d11=0.716 hdg=358.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384500 A1 here: d11=0.716 hdg=6.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384501 A1 here: d11=0.715 hdg=5.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384503 A1 here: d11=0.730 hdg=1.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384504 A1 here: d11=0.720 hdg=3.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384505 A1 here: d11=0.725 hdg=3.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384506 A1 here: d11=0.709 hdg=5.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384507 A1 here: d11=0.716 hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384509 A1 here: d11=0.718 hdg=0.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384510 A1 here: d11=0.709 hdg=7.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384511 A1 here: d11= hdg=3.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384512 A1 here: d11=0.726 hdg=0.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384514 A1 here: d11=0.721 hdg=0.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384515 A1 here: d11=0.721 hdg=6.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384516 A1 here: d11=0.720 hdg=7.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384517 A1 here: d11=0.705 hdg=0.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384518 A1 here: d11=0.722 hdg=5.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384520 A1 here: d11=0.723 hdg=1.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384521 A1 here: d11=0.708 hdg=1.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384522 A1 here: d11=0.732 hdg=6.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384523 A1 here: d11=0.720 hdg=3.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384525 A1 here: d11=0.719 hdg=2.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384526 A1 here: d11=0.719 hdg=0.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384527 A1 here: d11=0.713 hdg=3.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384528 A1 here: d11=0.712 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384529 A1 here: d11=0.717 hdg=30.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384531 A1 here: d11=0.726 hdg=57.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384532 A1 here: d11=0.725 hdg=87.6 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384533 A1 here: d11=0.714 hdg=114.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384534 A1 here: d11=0.719 hdg=145.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384536 A1 here: d11=0.726 hdg=169.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384537 A1 ping; homing on you; plz send goal-xy
1788384538 A1 here: d11=0.724 hdg=223.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384539 A1 here: d11=0.737 hdg=218.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384540 A1 here: d11=0.724 hdg=220.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384542 A1 here: d11=0.722 hdg=221.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384543 A1 here: d11=0.735 hdg=218.1 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384544 A1 here: d11=0.721 hdg=220.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384545 A1 here: d11=0.731 hdg=262.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384546 A1 here: d11=0.736 hdg=261.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384548 A1 ping; homing on you; plz send goal-xy
1788384549 A1 here: d11=0.734 hdg=261.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384550 A1 here: d11=0.727 hdg=262.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384551 A1 here: d11=0.750 hdg=263.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384552 A1 ping; homing on you; plz send goal-xy
1788384554 A1 here: d11=0.730 hdg=302.7 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384555 A1 here: d11=0.725 hdg=299.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384556 A1 here: d11=0.739 hdg=299.2 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384557 A1 here: d11=0.746 hdg= goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384559 A1 here: d11=0.763 hdg=300.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384560 A1 here: d11=0.759 hdg=298.8 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384561 A1 here: d11=0.761 hdg=292.5 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384562 A1 ridge d11=0.758
1788384563 A1 ping; homing on you; plz send goal-xy
1788384565 A1 here: d11=0.775 hdg=295.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384566 A1 here: d11=0.761 hdg=295.0 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384567 A1 here: d11=0.777 hdg=290.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384568 A1 here: d11=0.767 hdg=293.3 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384570 A1 here: d11=0.766 hdg=293.4 goal=0. R1 sweep to my RX-range; then hold+broadcast.
1788384571 A1 here: d11=0.781 hdg=292.9 goal=0. R1 sweep to my RX-range; then hold+broadcast.
